Distance_km,Traffic_Density,Road_Type,Time_of_Day,Day_of_Week,Weather,Num_Traffic_Signals,Speed_Limit_kmph,Incident_Type,Population_Density_per_km2,Response_Time_minutes
1.41,Low,Secondary,Evening,Fri,Rain,6,50,Other,359,3.24
9.03,Low,Primary,Afternoon,Mon,Clear,4,40,Medical,1538,12.83
3.95,Low,Primary,Night,Thu,Clear,3,50,Other,3949,6.65
2.74,Medium,Secondary,Morning,Wed,Clear,2,70,Fire,7134,3.35
0.51,Medium,Secondary,Evening,Fri,Rain,3,60,Fire,5993,1.0
0.51,High,Secondary,Evening,Sun,Clear,5,50,Crime,7732,3.46
0.18,Low,Residential,Evening,Sat,Clear,3,50,Crime,6372,1.97
6.03,Medium,Primary,Afternoon,Sun,Clear,3,50,Crime,4958,11.67
2.76,Medium,Secondary,Evening,Sat,Clear,3,60,Crime,7968,6.7
3.69,Medium,Primary,Afternoon,Tue,Clear,4,30,Medical,5739,10.44
0.06,High,Secondary,Afternoon,Sat,Clear,1,50,Fire,7970,1.04
10.51,Medium,Primary,Night,Fri,Clear,1,70,Medical,5533,9.81
5.36,High,Primary,Night,Mon,Clear,0,40,Medical,2825,9.17
0.72,Low,Primary,Evening,Wed,Clear,2,40,Other,6164,1.47
0.6,Medium,Primary,Afternoon,Tue,Clear,3,50,Crime,4904,1.0
0.61,Low,Residential,Evening,Sun,Clear,5,50,Medical,2466,2.51
1.09,Low,Secondary,Morning,Sat,Clear,2,50,Fire,9046,1.62
2.23,Low,Residential,Morning,Sat,Snow,2,70,Medical,5030,2.45
1.7,Low,Secondary,Evening,Sun,Clear,2,40,Medical,4585,3.06
1.03,Low,Primary,Afternoon,Wed,Clear,4,50,Medical,3122,1.3
2.84,Low,Primary,Night,Wed,Clear,5,60,Medical,2544,3.14
0.45,Low,Primary,Afternoon,Sun,Clear,2,40,Fire,5227,1.4
1.04,High,Primary,Afternoon,Fri,Clear,3,60,Medical,8134,2.59
1.37,Low,Secondary,Evening,Sat,Rain,2,50,Medical,7050,3.49
1.83,Medium,Secondary,Evening,Thu,Clear,1,60,Crime,3427,3.36
4.61,Low,Primary,Afternoon,Sat,Rain,1,50,Crime,5515,7.64
0.67,High,Primary,Morning,Fri,Rain,2,50,Other,12033,1.37
2.17,High,Primary,Evening,Tue,Clear,4,50,Crime,3917,5.22
2.69,Medium,Primary,Afternoon,Mon,Clear,2,40,Medical,5318,4.72
0.14,Medium,Primary,Morning,Sat,Clear,2,50,Fire,7187,1.0
2.81,Low,Residential,Evening,Fri,Clear,3,60,Other,4139,5.0
0.56,High,Primary,Morning,Thu,Clear,2,60,Other,951,3.16
0.2,High,Secondary,Night,Thu,Clear,2,60,Medical,10004,1.09
8.92,High,Primary,Evening,Fri,Clear,0,60,Fire,4582,14.68
10.11,Medium,Primary,Night,Tue,Clear,1,50,Medical,7507,14.47
4.96,Low,Residential,Afternoon,Thu,Clear,4,50,Medical,3906,8.61
1.09,High,Secondary,Night,Thu,Clear,2,60,Medical,10777,1.71
0.31,Low,Primary,Morning,Sat,Clear,2,60,Medical,9522,3.74
3.46,Medium,Residential,Morning,Sat,Rain,1,30,Other,4466,13.49
1.74,Low,Primary,Morning,Sun,Clear,1,50,Other,5332,4.28
0.39,High,Primary,Afternoon,Tue,Clear,3,70,Medical,4659,2.48
2.05,Low,Residential,Morning,Tue,Clear,1,70,Medical,5434,1.0
0.1,Low,Secondary,Afternoon,Tue,Rain,2,50,Medical,3364,1.0
7.2,Medium,Primary,Afternoon,Sun,Rain,1,60,Medical,4330,13.77
0.9,Medium,Primary,Afternoon,Tue,Rain,3,30,Medical,200,4.07
3.26,Medium,Residential,Evening,Fri,Clear,3,50,Medical,4073,7.23
1.12,Low,Primary,Morning,Fri,Clear,3,60,Crime,3545,2.52
2.2,Low,Primary,Evening,Wed,Clear,3,60,Medical,3722,3.78
2.37,Medium,Secondary,Evening,Sun,Clear,3,60,Other,6895,4.23
0.61,High,Residential,Night,Wed,Fog,6,60,Crime,4556,2.86
10.48,High,Primary,Afternoon,Sun,Clear,7,50,Medical,8400,23.97
4.48,Medium,Residential,Night,Wed,Clear,3,70,Fire,3777,2.93
8.42,High,Secondary,Evening,Thu,Rain,2,50,Medical,2878,26.02
6.76,Low,Secondary,Night,Tue,Clear,4,70,Crime,6252,7.15
2.73,Medium,Secondary,Morning,Fri,Clear,3,40,Crime,2386,7.52
7.65,Medium,Residential,Evening,Fri,Clear,7,60,Medical,4779,15.75
0.28,Low,Primary,Evening,Tue,Clear,3,50,Medical,1034,1.0
0.65,Medium,Primary,Morning,Wed,Clear,4,60,Fire,3286,2.85
0.14,Medium,Residential,Evening,Sat,Rain,1,40,Medical,8524,2.14
1.18,Low,Secondary,Evening,Sun,Clear,2,40,Crime,6689,3.22
1.48,Low,Secondary,Evening,Thu,Clear,4,40,Crime,3571,2.54
0.95,Low,Secondary,Morning,Fri,Clear,3,50,Other,5932,1.74
5.29,Medium,Secondary,Evening,Mon,Clear,0,50,Medical,5900,10.22
1.32,Low,Residential,Morning,Thu,Clear,4,50,Medical,7218,4.18
0.99,Low,Residential,Evening,Thu,Rain,2,50,Other,1192,1.89
2.35,Medium,Secondary,Morning,Wed,Clear,1,50,Medical,200,4.44
0.46,Medium,Primary,Morning,Tue,Clear,3,60,Medical,4777,4.02
4.86,Medium,Secondary,Afternoon,Sun,Clear,3,60,Medical,3686,6.4
0.23,Medium,Secondary,Evening,Sun,Clear,2,50,Medical,5515,2.23
13.0,High,Secondary,Night,Mon,Clear,4,50,Medical,7882,28.1
4.44,High,Secondary,Morning,Wed,Clear,4,60,Fire,5998,10.22
0.66,High,Primary,Morning,Tue,Clear,1,50,Fire,7455,3.41
0.02,Medium,Secondary,Afternoon,Sun,Clear,4,50,Medical,5057,1.88
5.07,Low,Secondary,Evening,Mon,Clear,5,50,Fire,5079,7.59
3.68,High,Residential,Afternoon,Sat,Rain,9,50,Medical,7361,14.33
3.92,Low,Secondary,Afternoon,Sat,Clear,3,50,Other,7173,5.03
4.43,Low,Primary,Evening,Fri,Clear,4,60,Medical,7869,6.18
0.23,Low,Secondary,Afternoon,Mon,Clear,4,50,Fire,5543,1.09
1.33,Low,Residential,Afternoon,Wed,Clear,5,50,Medical,3147,5.23
0.37,High,Secondary,Afternoon,Mon,Clear,6,60,Other,4854,2.74
5.97,Medium,Secondary,Evening,Mon,Rain,6,60,Medical,7104,14.61
2.93,Medium,Secondary,Night,Mon,Rain,6,30,Medical,7203,12.71
1.21,Medium,Primary,Evening,Fri,Clear,3,60,Medical,4009,1.0
0.2,Medium,Residential,Afternoon,Sat,Clear,4,70,Medical,3555,4.02
1.12,Low,Primary,Afternoon,Sat,Clear,6,40,Crime,6332,4.12
1.18,Medium,Secondary,Morning,Tue,Clear,3,60,Medical,1322,2.26
3.92,Medium,Primary,Evening,Mon,Clear,4,40,Medical,2475,8.39
3.04,Low,Primary,Evening,Sun,Rain,0,70,Medical,5385,2.78
6.55,Medium,Secondary,Night,Thu,Clear,3,50,Medical,3977,11.77
1.92,Low,Secondary,Morning,Sun,Clear,1,60,Other,4869,2.25
0.38,Low,Secondary,Evening,Wed,Clear,5,40,Medical,3175,2.55
3.75,Low,Secondary,Evening,Thu,Clear,2,40,Medical,4974,6.86
4.29,Low,Secondary,Afternoon,Sun,Clear,5,70,Medical,5343,6.12
2.47,High,Secondary,Evening,Tue,Rain,3,70,Medical,6226,5.98
4.42,High,Secondary,Night,Wed,Clear,1,50,Fire,3846,7.45
2.04,Low,Secondary,Night,Tue,Clear,3,50,Other,8558,4.01
2.22,Medium,Secondary,Evening,Sun,Rain,1,30,Medical,3162,9.4
1.67,Medium,Secondary,Morning,Wed,Rain,4,70,Other,4093,1.71
0.08,Low,Residential,Night,Sat,Rain,3,70,Medical,10595,1.42
0.34,Low,Primary,Evening,Sat,Clear,5,40,Fire,538,2.2
0.1,High,Residential,Afternoon,Thu,Snow,1,50,Medical,6759,1.0
3.04,Medium,Primary,Morning,Thu,Rain,7,70,Other,5126,8.1
1.13,High,Primary,Morning,Sun,Rain,3,40,Crime,4149,5.82
2.13,Low,Primary,Morning,Fri,Snow,3,60,Other,9743,6.28
7.14,Medium,Secondary,Evening,Sun,Snow,4,50,Fire,2653,20.32
0.86,Low,Primary,Morning,Sun,Clear,2,40,Fire,8274,1.49
1.58,Low,Residential,Morning,Sun,Clear,4,40,Fire,5682,4.72
4.23,Medium,Residential,Afternoon,Tue,Clear,2,60,Fire,5534,7.73
0.78,Low,Secondary,Afternoon,Thu,Clear,1,40,Crime,2950,2.03
0.24,Low,Secondary,Morning,Wed,Clear,2,30,Fire,3710,1.0
1.03,Low,Residential,Morning,Mon,Clear,2,60,Medical,2009,1.09
0.53,Low,Residential,Morning,Sun,Clear,3,60,Crime,7040,2.89
7.96,Medium,Secondary,Evening,Mon,Clear,1,60,Other,8683,16.24
4.95,Medium,Secondary,Morning,Mon,Clear,5,60,Other,4513,9.57
3.01,Low,Secondary,Evening,Fri,Clear,1,30,Medical,5798,7.81
6.15,Low,Secondary,Morning,Sun,Clear,2,30,Medical,7674,12.69
4.88,Low,Primary,Morning,Thu,Snow,5,60,Other,3210,8.94
0.62,Medium,Secondary,Afternoon,Tue,Clear,3,60,Medical,4800,2.69
6.69,Low,Primary,Morning,Tue,Clear,4,60,Medical,7238,9.32
2.33,Medium,Primary,Morning,Sun,Clear,2,50,Medical,7518,2.77
4.94,Low,Secondary,Afternoon,Sun,Clear,5,60,Medical,6960,8.4
6.79,Low,Residential,Afternoon,Fri,Rain,2,40,Fire,2741,16.25
1.15,High,Residential,Evening,Wed,Clear,3,60,Medical,6818,3.04
0.35,Medium,Secondary,Morning,Sat,Clear,0,50,Medical,2208,1.0
0.78,Low,Secondary,Night,Sun,Rain,5,70,Crime,8954,1.0
1.67,High,Primary,Evening,Thu,Fog,4,50,Medical,1085,6.6
5.11,Medium,Secondary,Evening,Thu,Clear,2,50,Other,6132,12.03
5.91,High,Primary,Afternoon,Wed,Clear,1,50,Fire,4057,10.17
0.02,Medium,Primary,Evening,Wed,Clear,3,60,Medical,5444,1.0
2.14,Medium,Secondary,Morning,Thu,Clear,4,40,Other,1429,7.24
1.62,High,Primary,Morning,Thu,Rain,6,40,Medical,2600,5.86
0.75,Low,Primary,Morning,Mon,Rain,3,60,Medical,6419,2.69
0.38,Medium,Residential,Night,Sun,Clear,3,70,Other,5652,1.0
1.24,Medium,Primary,Afternoon,Sun,Rain,3,60,Other,7338,2.41
8.59,Low,Primary,Night,Sun,Clear,3,50,Fire,5082,10.63
1.17,Low,Primary,Afternoon,Tue,Clear,1,50,Medical,200,2.08
2.19,Low,Primary,Night,Mon,Clear,2,50,Medical,7052,4.23
3.64,Medium,Primary,Night,Mon,Rain,3,60,Medical,6959,5.79
1.36,Medium,Residential,Night,Tue,Rain,4,50,Crime,9589,3.73
10.7,Medium,Primary,Afternoon,Fri,Clear,3,60,Crime,4905,16.14
9.85,Low,Residential,Night,Sat,Clear,1,60,Medical,527,10.53
0.87,Medium,Primary,Night,Fri,Clear,3,50,Medical,3206,2.34
2.06,High,Secondary,Afternoon,Fri,Rain,4,60,Medical,7347,7.21
1.07,Low,Secondary,Afternoon,Fri,Clear,5,70,Other,5419,3.74
1.01,Medium,Secondary,Evening,Wed,Clear,6,50,Fire,8458,5.4
0.11,Medium,Secondary,Afternoon,Mon,Clear,1,60,Crime,8167,1.0
2.82,Medium,Residential,Evening,Wed,Clear,2,60,Crime,2279,6.38
2.1,Medium,Primary,Morning,Sun,Clear,2,40,Other,3123,4.42
0.16,High,Secondary,Afternoon,Wed,Rain,2,70,Other,2495,2.26
0.98,Low,Residential,Morning,Tue,Clear,7,60,Other,5906,3.9
7.17,High,Primary,Afternoon,Fri,Clear,4,30,Fire,998,22.36
0.82,Low,Primary,Afternoon,Thu,Clear,2,60,Medical,4144,1.76
0.47,Low,Primary,Evening,Fri,Clear,3,40,Crime,5787,1.0
2.02,Low,Secondary,Morning,Mon,Clear,2,50,Crime,9607,4.17
12.73,Medium,Primary,Evening,Wed,Clear,3,50,Crime,5342,22.48
0.83,Low,Primary,Evening,Mon,Clear,2,50,Medical,2719,2.72
3.35,Low,Secondary,Afternoon,Wed,Clear,1,60,Fire,1065,4.51
4.3,Low,Secondary,Morning,Wed,Clear,1,60,Medical,6909,3.99
0.81,High,Primary,Morning,Wed,Clear,5,50,Medical,7015,2.08
3.91,High,Primary,Afternoon,Thu,Clear,3,60,Medical,4091,6.72
1.38,Medium,Secondary,Morning,Sun,Clear,6,50,Crime,3291,4.67
3.0,Medium,Residential,Afternoon,Fri,Clear,1,30,Medical,3107,9.12
